;Kraj;Sprzedawca;Data zamowienia;idZamowienia;Utarg;Year
194;Niemcy;Leverling;2004-02-18;10442;1792.0;2004
195;Niemcy;Callahan;2004-02-14;10443;517.44;2004
196;Niemcy;Leverling;2004-02-21;10444;1031.7;2004
197;Niemcy;Leverling;2004-02-20;10445;174.9;2004
198;Polska;Sowiński;2004-02-19;10446;246.24;2004
199;Niemcy;Peacock;2004-03-07;10447;914.4;2004
200;Niemcy;Peacock;2004-02-24;10448;443.4;2004
201;Niemcy;Leverling;2004-02-27;10449;1838.2;2004
202;Niemcy;Callahan;2004-03-11;10450;425.12;2004
203;Niemcy;Peacock;2004-03-12;10451;3849.66;2004
204;Niemcy;Callahan;2004-02-26;10452;2018.5;2004
205;Niemcy;Davolio;2004-02-26;10453;407.7;2004
206;Niemcy;Peacock;2004-02-25;10454;331.2;2004
207;Niemcy;Callahan;2004-03-03;10455;2684.0;2004
208;Niemcy;Callahan;2004-02-28;10456;557.6;2004
209;Niemcy;Fuller;2004-03-03;10457;1584.0;2004
210;Polska;King;2004-03-04;10458;3891.0;2004
211;Niemcy;Peacock;2004-02-28;10459;1659.2;2004
212;Niemcy;Callahan;2004-03-03;10460;176.1;2004
213;Niemcy;Davolio;2004-03-05;10461;1538.7;2004
214;Niemcy;Fuller;2004-03-18;10462;156.0;2004
215;Polska;Kowalski;2004-03-06;10463;713.3;2004
216;Niemcy;Peacock;2004-03-14;10464;1609.28;2004
217;Niemcy;Davolio;2004-03-14;10465;2518.0;2004
218;Niemcy;Peacock;2004-03-13;10466;216.0;2004
219;Niemcy;Callahan;2004-03-11;10467;235.2;2004
220;Niemcy;Leverling;2004-03-12;10468;717.6;2004
221;Niemcy;Davolio;2004-03-14;10469;956.67;2004
222;Niemcy;Peacock;2004-03-14;10470;1820.8;2004
223;Niemcy;Fuller;2004-03-18;10471;1328.0;2004
224;Niemcy;Callahan;2004-03-19;10472;1036.8;2004
225;Niemcy;Davolio;2004-03-21;10473;230.4;2004
226;Polska;Kowalski;2004-03-21;10474;1249.1;2004
227;Polska;Dudek;2004-04-04;10475;1505.18;2004
228;Niemcy;Callahan;2004-03-24;10476;180.48;2004
229;Polska;Kowalski;2004-03-25;10477;558.0;2004
230;Niemcy;Fuller;2004-03-26;10478;471.2;2004
231;Niemcy;Leverling;2004-03-21;10479;10495.6;2004
232;Polska;Sowiński;2004-03-24;10480;756.0;2004
233;Niemcy;Callahan;2004-03-25;10481;1472.0;2004
234;Niemcy;Davolio;2004-04-10;10482;147.0;2004
235;Polska;King;2004-04-25;10483;668.8;2004
236;Niemcy;Leverling;2004-04-01;10484;386.2;2004
237;Niemcy;Peacock;2004-03-31;10485;1584.0;2004
238;Niemcy;Davolio;2004-04-02;10486;1272.0;2004
239;Niemcy;Fuller;2004-03-28;10487;889.7;2004
240;Niemcy;Callahan;2004-04-02;10488;1512.0;2004
241;Polska;Sowiński;2004-04-09;10489;439.2;2004
242;Polska;King;2004-04-03;10490;3163.2;2004
243;Niemcy;Callahan;2004-04-08;10491;259.5;2004
244;Niemcy;Leverling;2004-04-11;10492;851.2;2004
245;Niemcy;Peacock;2004-04-10;10493;608.4;2004
246;Niemcy;Peacock;2004-04-09;10494;912.0;2004
247;Niemcy;Leverling;2004-04-11;10495;278.0;2004
248;Polska;King;2004-04-07;10496;190.0;2004
249;Polska;King;2004-04-07;10497;1380.6;2004
250;Niemcy;Callahan;2004-04-11;10498;575.0;2004
251;Niemcy;Peacock;2004-04-16;10499;1412.0;2004
252;Polska;Sowiński;2004-04-17;10500;523.26;2004
253;Polska;Dudek;2004-04-16;10501;149.0;2004
254;Niemcy;Fuller;2004-04-29;10502;816.3;2004
255;Polska;Sowiński;2004-04-16;10503;2048.5;2004
256;Niemcy;Peacock;2004-04-18;10504;1388.5;2004
257;Niemcy;Leverling;2004-04-21;10505;147.9;2004
258;Polska;Dudek;2004-05-02;10506;415.8;2004
259;Polska;King;2004-04-22;10507;749.06;2004
260;Niemcy;Davolio;2004-05-13;10508;240.0;2004
261;Niemcy;Peacock;2004-04-29;10509;136.8;2004
262;Polska;Sowiński;2004-04-28;10510;4707.54;2004
263;Niemcy;Peacock;2004-04-21;10511;2550.0;2004
264;Polska;King;2004-04-24;10512;525.3;2004
265;Polska;King;2004-04-28;10513;1942.0;2004
266;Niemcy;Leverling;2004-05-16;10514;8623.45;2004
267;Niemcy;Fuller;2004-05-23;10515;9921.3;2004
268;Niemcy;Fuller;2004-05-01;10516;2381.05;2004
269;Niemcy;Leverling;2004-04-29;10517;352.0;2004
270;Niemcy;Peacock;2004-05-05;10518;4150.05;2004
271;Polska;Sowiński;2004-05-01;10519;2314.2;2004
272;Polska;King;2004-05-01;10520;200.0;2004
273;Niemcy;Callahan;2004-05-02;10521;225.5;2004
274;Niemcy;Peacock;2004-05-06;10522;2318.24;2004
275;Polska;King;2004-05-30;10523;2444.31;2004
276;Niemcy;Davolio;2004-05-07;10524;3192.65;2004
277;Niemcy;Davolio;2004-05-23;10525;818.4;2004
278;Niemcy;Peacock;2004-05-15;10526;1151.4;2004
279;Polska;King;2004-05-07;10527;1503.0;2004
280;Polska;Sowiński;2004-05-09;10528;392.2;2004
281;Polska;Kowalski;2004-05-09;10529;946.0;2004
282;Niemcy;Leverling;2004-05-12;10530;4180.0;2004
283;Polska;King;2004-05-19;10531;110.0;2004
284;Polska;King;2004-05-12;10532;796.35;2004
285;Niemcy;Callahan;2004-05-22;10533;2222.2;2004
286;Niemcy;Callahan;2004-05-14;10534;465.7;2004
287;Niemcy;Peacock;2004-05-21;10535;1940.85;2004
288;Niemcy;Leverling;2004-06-06;10536;1645.0;2004
289;Niemcy;Davolio;2004-05-19;10537;1823.8;2004
290;Polska;Dudek;2004-05-16;10538;139.8;2004
291;Polska;Sowiński;2004-05-23;10539;355.5;2004
292;Niemcy;Leverling;2004-06-13;10540;10191.7;2004
293;Niemcy;Fuller;2004-05-29;10541;1946.52;2004
294;Niemcy;Davolio;2004-05-26;10542;469.11;2004
295;Niemcy;Callahan;2004-05-23;10543;1504.5;2004
296;Niemcy;Peacock;2004-05-30;10544;417.2;2004
297;Niemcy;Callahan;2004-06-26;10545;210.0;2004
298;Niemcy;Davolio;2004-05-27;10546;2812.0;2004
299;Niemcy;Leverling;2004-06-02;10547;1792.8;2004
300;Niemcy;Leverling;2004-06-02;10548;240.1;2004
301;Polska;Kowalski;2004-05-30;10549;3554.27;2004
302;Polska;King;2004-06-06;10550;683.3;2004
303;Niemcy;Peacock;2004-06-06;10551;1677.3;2004
304;Niemcy;Fuller;2004-06-05;10552;880.5;2004
305;Niemcy;Fuller;2004-06-03;10553;1546.3;2004
306;Niemcy;Peacock;2004-06-05;10554;1728.52;2004
307;Polska;Sowiński;2004-06-04;10555;2944.4;2004
308;Niemcy;Fuller;2004-06-13;10556;835.2;2004
309;Polska;Dudek;2004-06-06;10557;1152.5;2004
310;Niemcy;Davolio;2004-06-10;10558;2142.9;2004
311;Polska;Sowiński;2004-06-13;10559;520.41;2004
312;Niemcy;Callahan;2004-06-09;10560;1072.42;2004
313;Niemcy;Fuller;2004-06-09;10561;2844.5;2004
314;Niemcy;Davolio;2004-06-12;10562;488.7;2004
315;Niemcy;Fuller;2004-06-24;10563;965.0;2004
316;Niemcy;Peacock;2004-06-16;10564;1234.05;2004
317;Niemcy;Callahan;2004-06-18;10565;639.9;2004
318;Polska;Dudek;2004-06-18;10566;1761.0;2004
319;Niemcy;Davolio;2004-06-17;10567;2519.0;2004
320;Niemcy;Leverling;2004-07-09;10568;155.0;2004
321;Polska;Kowalski;2004-07-11;10569;890.0;2004
322;Niemcy;Leverling;2004-06-19;10570;2465.25;2004
323;Niemcy;Callahan;2004-07-04;10571;550.59;2004
324;Niemcy;Leverling;2004-06-25;10572;1501.08;2004
325;Polska;King;2004-06-20;10573;2082.0;2004
326;Niemcy;Peacock;2004-06-30;10574;764.3;2004
327;Polska;Kowalski;2004-06-30;10575;2147.4;2004
328;Niemcy;Leverling;2004-06-30;10576;838.45;2004
329;Polska;Dudek;2004-06-30;10577;569.0;2004
330;Niemcy;Peacock;2004-07-25;10578;477.0;2004
331;Niemcy;Davolio;2004-07-04;10579;317.75;2004
332;Niemcy;Peacock;2004-07-01;10580;1013.74;2004
333;Niemcy;Leverling;2004-07-02;10581;310.0;2004
334;Niemcy;Leverling;2004-07-14;10582;330.0;2004
335;Niemcy;Fuller;2004-07-04;10583;2237.5;2004
336;Niemcy;Peacock;2004-07-04;10584;593.75;2004
337;Polska;King;2004-07-10;10585;142.5;2004
338;Polska;Dudek;2004-07-09;10586;23.8;2004
339;Niemcy;Davolio;2004-07-09;10587;807.38;2004
340;Niemcy;Fuller;2004-07-10;10588;3120.0;2004
341;Niemcy;Callahan;2004-07-14;10589;72.0;2004
342;Niemcy;Peacock;2004-07-14;10590;1101.0;2004
343;Niemcy;Davolio;2004-07-16;10591;812.5;2004
344;Niemcy;Leverling;2004-07-16;10592;516.46;2004
345;Polska;King;2004-08-13;10593;1994.4;2004
346;Niemcy;Leverling;2004-07-16;10594;565.5;2004
347;Niemcy;Fuller;2004-07-14;10595;4725.0;2004
348;Niemcy;Callahan;2004-08-12;10596;1180.88;2004
349;Polska;King;2004-07-18;10597;718.08;2004
350;Niemcy;Davolio;2004-07-18;10598;2388.5;2004
351;Polska;Sowiński;2004-07-21;10599;493.0;2004
352;Niemcy;Peacock;2004-07-21;10600;479.8;2004
353;Polska;King;2004-07-22;10601;2285.0;2004
354;Niemcy;Callahan;2004-07-22;10602;48.75;2004
355;Niemcy;Callahan;2004-08-08;10603;1483.0;2004
356;Niemcy;Davolio;2004-07-29;10604;230.85;2004
357;Niemcy;Davolio;2004-07-29;10605;4109.69;2004
358;Niemcy;Peacock;2004-07-31;10606;1130.4;2004
359;Polska;Kowalski;2004-07-25;10607;6475.4;2004
360;Niemcy;Peacock;2004-08-01;10608;1064.0;2004
361;Polska;King;2004-07-30;10609;424.0;2004
362;Niemcy;Callahan;2004-08-06;10610;299.25;2004
363;Polska;Sowiński;2004-08-01;10611;808.0;2004
364;Niemcy;Davolio;2004-08-01;10612;6375.0;2004
365;Niemcy;Peacock;2004-08-01;10613;353.2;2004
366;Niemcy;Callahan;2004-08-01;10614;464.0;2004
367;Niemcy;Fuller;2004-08-06;10615;120.0;2004
368;Niemcy;Davolio;2004-08-05;10616;4806.99;2004
369;Niemcy;Peacock;2004-08-04;10617;1402.5;2004
370;Niemcy;Davolio;2004-08-08;10618;2697.5;2004
371;Niemcy;Leverling;2004-08-07;10619;1260.0;2004
372;Niemcy;Fuller;2004-08-14;10620;57.5;2004
373;Niemcy;Peacock;2004-08-11;10621;758.5;2004
374;Niemcy;Peacock;2004-08-11;10622;560.0;2004
375;Niemcy;Callahan;2004-08-12;10623;1336.95;2004
376;Niemcy;Peacock;2004-08-19;10624;1393.24;2004
377;Niemcy;Leverling;2004-08-14;10625;479.75;2004
378;Niemcy;Davolio;2004-08-20;10626;1503.6;2004
379;Niemcy;Callahan;2004-08-21;10627;1185.75;2004
380;Niemcy;Peacock;2004-08-20;10628;450.0;2004
381;Niemcy;Peacock;2004-08-20;10629;2775.05;2004
382;Niemcy;Davolio;2004-08-19;10630;903.6;2004
383;Niemcy;Callahan;2004-08-15;10631;55.8;2004
384;Niemcy;Callahan;2004-08-19;10632;589.0;2004
385;Polska;King;2004-08-18;10633;5510.59;2004
386;Niemcy;Peacock;2004-08-21;10634;4985.5;2004
387;Niemcy;Callahan;2004-08-21;10635;1326.22;2004
388;Niemcy;Peacock;2004-08-26;10636;629.5;2004
389;Polska;Sowiński;2004-08-26;10637;2761.94;2004
390;Niemcy;Leverling;2004-09-01;10638;2720.05;2004
391;Polska;King;2004-08-27;10639;500.0;2004
392;Niemcy;Peacock;2004-08-28;10640;708.75;2004
393;Niemcy;Peacock;2004-08-26;10641;2054.0;2004
394;Polska;King;2004-09-05;10642;696.0;2004
395;Polska;Sowiński;2004-09-02;10643;814.5;2004
396;Niemcy;Leverling;2004-09-01;10644;1371.8;2004
397;Niemcy;Peacock;2004-09-02;10645;1535.0;2004
398;Polska;Dudek;2004-09-03;10646;1446.0;2004
399;Niemcy;Peacock;2004-09-03;10647;636.0;2004
400;Polska;Kowalski;2004-09-09;10648;372.37;2004
401;Polska;Kowalski;2004-08-29;10649;1434.0;2004
402;Polska;Kowalski;2004-09-03;10650;1779.2;2004
403;Niemcy;Callahan;2004-09-11;10651;397.8;2004
404;Niemcy;Peacock;2004-09-08;10652;318.84;2004
405;Niemcy;Davolio;2004-09-19;10653;1083.15;2004
406;Polska;Kowalski;2004-09-11;10654;601.83;2004
407;Niemcy;Davolio;2004-09-11;10655;154.4;2004
408;Polska;Sowiński;2004-09-10;10656;604.21;2004
409;Niemcy;Fuller;2004-09-15;10657;4371.6;2004
410;Niemcy;Peacock;2004-09-08;10658;4464.6;2004
411;Polska;King;2004-09-10;10659;1227.02;2004
412;Niemcy;Callahan;2004-10-15;10660;1701.0;2004
413;Polska;King;2004-09-15;10661;562.6;2004
414;Niemcy;Leverling;2004-09-18;10662;125.0;2004
415;Niemcy;Fuller;2004-10-03;10663;1930.4;2004
416;Niemcy;Davolio;2004-09-19;10664;1288.39;2004
417;Niemcy;Davolio;2004-09-17;10665;1295.0;2004
418;Polska;King;2004-09-22;10666;4666.94;2004
419;Polska;King;2004-09-19;10667;1536.8;2004
420;Niemcy;Davolio;2004-09-23;10668;625.27;2004
421;Niemcy;Fuller;2004-09-22;10669;570.0;2004
422;Niemcy;Peacock;2004-09-18;10670;2301.75;2004
423;Niemcy;Davolio;2004-09-24;10671;920.1;2004
424;Polska;Dudek;2004-09-26;10672;3815.25;2004
425;Niemcy;Fuller;2004-09-19;10673;412.35;2004
426;Niemcy;Peacock;2004-09-30;10674;45.0;2004
427;Polska;Kowalski;2004-09-23;10675;1423.0;2004
428;Niemcy;Fuller;2004-09-29;10676;534.85;2004
429;Niemcy;Davolio;2004-09-26;10677;813.36;2004
430;Polska;King;2004-10-16;10678;5256.5;2004
431;Niemcy;Callahan;2004-09-30;10679;660.0;2004
432;Niemcy;Davolio;2004-09-26;10680;1261.88;2004
433;Niemcy;Leverling;2004-09-30;10681;1287.4;2004
434;Niemcy;Leverling;2004-10-01;10682;375.5;2004
435;Niemcy;Fuller;2004-10-01;10683;63.0;2004
436;Niemcy;Leverling;2004-09-30;10684;1768.0;2004
437;Niemcy;Peacock;2004-10-03;10685;801.1;2004
438;Niemcy;Fuller;2004-10-08;10686;1404.45;2004
439;Polska;Dudek;2004-10-30;10687;4960.9;2004
440;Niemcy;Peacock;2004-10-07;10688;3160.6;2004
441;Niemcy;Davolio;2004-10-07;10689;472.5;2004
442;Niemcy;Davolio;2004-10-03;10690;862.5;2004
443;Niemcy;Fuller;2004-10-22;10691;10164.8;2004
444;Niemcy;Peacock;2004-10-13;10692;878.0;2004
445;Niemcy;Leverling;2004-10-10;10693;2071.2;2004
446;Niemcy;Callahan;2004-10-09;10694;4825.0;2004
447;Polska;King;2004-10-14;10695;642.0;2004
448;Niemcy;Callahan;2004-10-14;10696;996.0;2004
449;Niemcy;Leverling;2004-10-14;10697;805.43;2004
450;Niemcy;Peacock;2004-10-17;10698;3436.45;2004
451;Niemcy;Leverling;2004-10-13;10699;114.0;2004
452;Niemcy;Leverling;2004-10-16;10700;1638.4;2004
453;Polska;Sowiński;2004-10-15;10701;2864.5;2004
454;Niemcy;Peacock;2004-10-21;10702;330.0;2004
455;Polska;Sowiński;2004-10-20;10703;2545.0;2004
456;Polska;Sowiński;2004-11-07;10704;595.5;2004
457;Polska;Dudek;2004-11-18;10705;378.0;2004
458;Niemcy;Callahan;2004-10-21;10706;1893.0;2004
459;Niemcy;Peacock;2004-10-23;10707;1641.0;2004
460;Polska;Sowiński;2004-11-05;10708;180.4;2004
461;Niemcy;Davolio;2004-11-20;10709;3424.0;2004
462;Niemcy;Davolio;2004-10-23;10710;93.5;2004
463;Polska;Kowalski;2004-10-29;10711;4451.7;2004
464;Niemcy;Leverling;2004-10-31;10712;1233.48;2004
465;Niemcy;Davolio;2004-10-24;10713;2827.9;2004
466;Polska;Kowalski;2004-10-27;10714;2205.75;2004
467;Niemcy;Leverling;2004-10-29;10715;1296.0;2004
468;Niemcy;Peacock;2004-10-27;10716;706.0;2004
469;Niemcy;Davolio;2004-10-29;10717;1270.75;2004
470;Niemcy;Davolio;2004-10-29;10718;3463.0;2004
471;Niemcy;Callahan;2004-11-05;10719;844.25;2004
472;Niemcy;Callahan;2004-11-05;10720;550.0;2004
473;Polska;Kowalski;2004-10-31;10721;923.87;2004
474;Niemcy;Callahan;2004-11-04;10722;1570.0;2004
475;Niemcy;Leverling;2004-11-25;10723;468.45;2004
476;Niemcy;Callahan;2004-11-05;10724;638.5;2004
477;Niemcy;Peacock;2004-11-05;10725;287.8;2004
478;Niemcy;Peacock;2004-12-05;10726;655.0;2004
479;Niemcy;Fuller;2004-12-05;10727;1624.5;2004
480;Niemcy;Peacock;2004-11-11;10728;1296.75;2004
481;Niemcy;Callahan;2004-11-14;10729;1850.0;2004
482;Polska;Kowalski;2004-11-14;10730;484.25;2004
483;Polska;King;2004-11-14;10731;1890.5;2004
484;Niemcy;Leverling;2004-11-07;10732;360.0;2004
485;Niemcy;Davolio;2004-11-10;10733;1459.0;2004
486;Niemcy;Fuller;2004-11-12;10734;1498.35;2004
487;Polska;Sowiński;2004-11-21;10735;536.4;2004
488;Polska;Dudek;2004-11-21;10736;997.0;2004
489;Niemcy;Fuller;2004-11-18;10737;139.8;2004
490;Niemcy;Fuller;2004-11-18;10738;52.35;2004
491;Niemcy;Leverling;2004-11-17;10739;240.0;2004
492;Niemcy;Peacock;2004-11-25;10740;1416.0;2004
493;Niemcy;Peacock;2004-11-18;10741;228.0;2004
494;Niemcy;Leverling;2004-11-18;10742;3118.0;2004
495;Niemcy;Davolio;2004-11-21;10743;319.2;2004
496;Polska;Sowiński;2004-11-24;10744;736.0;2004
497;Polska;Dudek;2004-11-27;10745;4529.8;2004
498;Niemcy;Davolio;2004-11-21;10746;2311.7;2004
499;Polska;Sowiński;2004-11-26;10747;1912.85;2004
500;Niemcy;Leverling;2004-11-28;10748;2196.0;2004
501;Niemcy;Peacock;2004-12-19;10749;1080.0;2004
502;Polska;Dudek;2004-11-24;10750;1590.56;2004
503;Niemcy;Leverling;2004-12-03;10751;1631.48;2004
504;Niemcy;Fuller;2004-11-28;10752;252.0;2004
505;Niemcy;Leverling;2004-11-27;10753;88.0;2004
506;Polska;Sowiński;2004-11-27;10754;55.2;2004
507;Niemcy;Peacock;2004-11-28;10755;1948.5;2004
508;Niemcy;Callahan;2004-12-02;10756;1990.0;2004
509;Polska;Sowiński;2004-12-15;10757;3082.0;2004
510;Niemcy;Leverling;2004-12-04;10758;1644.6;2004
511;Niemcy;Leverling;2004-12-12;10759;320.0;2004
512;Niemcy;Peacock;2004-12-10;10760;2917.0;2004
513;Polska;Kowalski;2004-12-08;10761;507.0;2004
514;Niemcy;Leverling;2004-12-09;10762;4337.0;2004
515;Niemcy;Leverling;2004-12-08;10763;616.0;2004
516;Polska;Sowiński;2004-12-08;10764;2286.0;2004
517;Niemcy;Leverling;2004-12-09;10765;1515.6;2004
518;Niemcy;Peacock;2004-12-09;10766;2310.0;2004
519;Niemcy;Peacock;2004-12-15;10767;28.0;2004
520;Niemcy;Leverling;2004-12-15;10768;1477.0;2004
521;Niemcy;Leverling;2004-12-12;10769;1684.27;2004
522;Niemcy;Callahan;2004-12-17;10770;236.25;2004
523;Polska;Dudek;2004-01-02;10771;344.0;2004
524;Niemcy;Leverling;2004-12-19;10772;3603.22;2004
525;Niemcy;Davolio;2004-12-16;10773;2030.4;2004
526;Niemcy;Peacock;2004-12-12;10774;868.75;2004
527;Polska;King;2004-12-26;10775;228.0;2004
528;Niemcy;Davolio;2004-12-18;10776;6635.27;2004
530;Niemcy;Leverling;2004-12-24;10778;96.5;2004
532;Niemcy;Fuller;2004-12-25;10780;720.0;2004
533;Niemcy;Fuller;2004-12-19;10781;975.88;2004
534;Polska;Dudek;2004-12-22;10782;12.5;2004
535;Niemcy;Peacock;2004-12-19;10783;1442.5;2004
536;Niemcy;Peacock;2004-12-22;10784;1488.0;2004
537;Niemcy;Davolio;2004-12-24;10785;387.5;2004
538;Niemcy;Callahan;2004-12-23;10786;1531.08;2004
539;Niemcy;Fuller;2004-12-26;10787;2622.76;2004
541;Niemcy;Davolio;2004-12-31;10789;3687.0;2004
542;Polska;Sowiński;2004-12-26;10790;722.5;2004
544;Niemcy;Davolio;2004-12-31;10792;399.85;2004
553;Niemcy;Peacock;2004-12-31;10801;3026.85;2004
